OBJECTID,Province,Sector_Secteur,Site,Status_Etat_Code,Latitude,Longitude
1,NB,NB-01-010-002,NB_0001,0,48.01136,-66.67893
2,NB,NB-01-010-002,NB_0002,0,48.00726,-66.65591
3,NB,NB-01-010-002,NB_0003,0,48.00486,-66.65421
4,NB,NB-01-010-002,NB_0004,0,48.01386,-66.59981
5,NB,NB-01-010-002,NB_0005,0,48.01836,-66.6023
6,NB,NB-01-010-002,NB_0006,0,48.02836,-66.6069
7,NB,NB-01-010-002,NB_0007,0,48.03856,-66.61041
8,NB,NB-01-010-002,NB_0008,0,48.04326,-66.57931
9,NB,NB-01-010-002,NB_0009,0,48.05726,-66.5388
10,NB,NB-01-010-002,NB_0010,0,48.05186,-66.537
11,NB,NB-01-010-002,NB_0011,0,48.04666,-66.5346
12,NB,NB-01-010-002,NB_0012,0,48.03596,-66.53001
13,NB,NB-01-010-002,NB_0013,0,48.07416,-66.4869
14,NB,NB-01-010-002,NB_0014,0,48.10826,-66.4618
15,NB,NB-01-010-002,NB_0015,0,48.09756,-66.4586
16,NB,NB-01-010-002,NB_0016,0,48.08066,-66.4537
17,NB,NB-01-010-002,NB_0017,0,48.07336,-66.4517
18,NB,NB-01-010-002,NB_0018,0,48.06456,-66.4491
19,NB,NB-01-010-002,NB_0019,0,48.06716,-66.4168
20,NB,NB-01-010-002,NB_0020,0,48.06896,-66.4029
21,NB,NB-01-010-002,NB_0021,0,48.07286,-66.37759
22,NB,NB-01-010-002,NB_0022,0,48.08106,-66.3809
23,NB,NB-01-010-002,NB_0023,0,48.08856,-66.38419
24,NB,NB-01-010-002,NB_0024,0,48.09666,-66.3871
25,NB,NB-01-010-002,NB_0025,0,48.10506,-66.3904
26,NB,NB-01-010-002,NB_0026,0,48.09756,-66.3481
27,NB,NB-01-010-002,NB_0027,0,48.09246,-66.3521
28,NB,NB-01-010-002,NB_0028,0,48.08516,-66.3575
29,NB,NB-01-010-002,NB_0029,0,48.07586,-66.36159
30,NB,NB-01-010-002,NB_0030,0,48.07136,-66.36089
31,NB,NB-01-010-002,NB_0031,0,48.07376,-66.35
32,NB,NB-01-010-002,NB_0032,0,48.07576,-66.33949
33,NB,NB-01-010-002,NB_0033,0,48.07516,-66.32269
34,NB,NB-01-010-002,NB_0034,0,48.07216,-66.32929
35,NB,NB-01-010-002,NB_0035,0,48.06876,-66.33679
36,NB,NB-01-010-002,NB_0036,0,48.06486,-66.3438
37,NB,NB-01-010-002,NB_0037,0,48.06186,-66.3503
38,NB,NB-01-010-002,NB_0038,0,48.05414,-66.3408
39,NB,NB-01-010-002,NB_0039,0,48.05556,-66.35799
40,NB,NB-01-010-002,NB_0040,0,48.05006,-66.367
41,NB,NB-01-020-001,NB_0002,0,48.04346,-66.3703
42,NB,NB-01-020-001,NB_0003,0,48.03826,-66.3699
43,NB,NB-01-020-001,NB_0004,0,48.03486,-66.3678
44,NB,NB-01-020-001,NB_0005,0,48.03246,-66.3716
45,NB,NB-01-020-001,NB_0006,0,48.03066,-66.3733
46,NB,NB-01-020-001,NB_0007,0,48.02886,-66.3714
47,NB,NB-01-020-001,NB_0008,0,48.02566,-66.3699
48,NB,NB-01-020-001,NB_0009,0,48.02296,-66.3684
49,NB,NB-01-020-001,NB_0010,0,48.01916,-66.3713
50,NB,NB-01-020-001,NB_0011,0,48.01966,-66.3752
