"DatasetName","MonitoringLocationID","MonitoringLocationName","MonitoringLocationLatitude","MonitoringLocationLongitude","MonitoringLocationHorizontalCoordinateReferenceSystem","MonitoringLocationHorizontalAccuracyMeasure","MonitoringLocationHorizontalAccuracyUnit","MonitoringLocationType","ActivityType","ActivityMediaName","ActivityStartDate","ActivityStartTime","ActivityEndDate","ActivityEndTime","ActivityDepthHeightMeasure","ActivityDepthHeightUnit","SampleCollectionEquipmentName","CharacteristicName","MethodSpeciation","ResultSampleFraction","ResultValue","ResultUnit","ResultValueType","ResultDetectionCondition","ResultDetectionQuantitationLimitMeasure","ResultDetectionQuantitationLimitUnit","ResultDetectionQuantitationLimitType","ResultStatusID","ResultComment","ResultAnalyticalMethodID","ResultAnalyticalMethodContext","ResultAnalyticalMethodName","AnalysisStartDate","AnalysisStartTime","AnalysisStartTimeZone","LaboratoryName","LaboratorySampleID"
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-09-13,"","","","-0.2","m","Water Bottle","Escherichia coli","","","450","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-09-12,"","","","-0.2","m","Water Bottle","Escherichia coli","","","1658","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-09-11,"","","","-0.2","m","Water Bottle","Escherichia coli","","","31","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-09-10,"","","","-0.2","m","Water Bottle","Escherichia coli","","","63","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-09-09,"","","","-0.2","m","Water Bottle","Escherichia coli","","","30","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-09-08,"","","","-0.2","m","Water Bottle","Escherichia coli","","","","","Actual","Below Detection/Quantification Limit","10","MPN/100mL","Reporting Limit","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-09-07,"","","","-0.2","m","Water Bottle","Escherichia coli","","","10","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-09-06,"","","","-0.2","m","Water Bottle","Escherichia coli","","","","","Actual","Below Detection/Quantification Limit","10","MPN/100mL","Reporting Limit","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-09-05,"","","","-0.2","m","Water Bottle","Escherichia coli","","","20","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-09-04,"","","","-0.2","m","Water Bottle","Escherichia coli","","","","","Actual","Below Detection/Quantification Limit","10","MPN/100mL","Reporting Limit","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-09-03,"","","","-0.2","m","Water Bottle","Escherichia coli","","","20","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-09-02,"","","","-0.2","m","Water Bottle","Escherichia coli","","","41","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-09-01,"","","","-0.2","m","Water Bottle","Escherichia coli","","","","","Actual","Below Detection/Quantification Limit","10","MPN/100mL","Reporting Limit","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-08-31,"","","","-0.2","m","Water Bottle","Escherichia coli","","","613","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-08-30,"","","","-0.2","m","Water Bottle","Escherichia coli","","","85","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-08-29,"","","","-0.2","m","Water Bottle","Escherichia coli","","","10","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-08-28,"","","","-0.2","m","Water Bottle","Escherichia coli","","","20","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-08-27,"","","","-0.2","m","Water Bottle","Escherichia coli","","","292","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-08-26,"","","","-0.2","m","Water Bottle","Escherichia coli","","","","","Actual","Below Detection/Quantification Limit","10","MPN/100mL","Reporting Limit","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-08-25,"","","","-0.2","m","Water Bottle","Escherichia coli","","","","","Actual","Below Detection/Quantification Limit","10","MPN/100mL","Reporting Limit","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
